LIRE_unfiltered dataset,attribute_name,dataset_source,source,created_by_script,data_type,description
27,language_EDCS,EDCS,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"Abbreviation for languages other than Latin, e.g. ""GR"" for Greek, extracted from the inscription attribute. Latin is default value (empty means Latin)"
28,clean_text_interpretive_word_EDCS,EDCS,inscription attribute,https://github.com/sdam-au/EDCS_ETL/blob/master/scripts/1_2_r_EDCS_cleaning_text.Rmd,character,"Result of cleaning function, producing a conservative version of the text of an inscription. The text is as close to the preserved state of the text, without restorations and expansions."
29,responsible_individual,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,character,Individual editor responsible for the quality of the record in EDH.
30,type_of_inscription,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,character,Classification of an inscription. https://edh-www.adw.uni-heidelberg.de/hilfe/liste/inschriftgattung
31,letter_size,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,character,Height of fully preserved letters in cm. Decimal numbers: Entry using either a point or a comma
32,literature,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,character,"Bibliographical references, These are the special rules for citation for abbreviations, volume and year information as well as the counting of numbers:
Année Épigraphique: AE year, number (always 4 digit); e.g.: AE 1983, 0825, AE 2001, 1720, AE 1969/70, 0384"
33,work_status,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,character,"The evidence used for verifying the readings are indicated in the „work status"" field; provisionally finished inscriptions (e.g. from regions, which are not the focus of systematic entry into EDH) are thus also easy to recognise as such for the user."
34,height,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,character,Greatest preserved height in cm. Entry of decimal numbers using either a point or a comma.
35,diplomatic_text,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,character,Text of an inscription in majuscule without modern restorations and expansions.
36,people,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,list,"Demographic related information containing attributes such as name, praenomen, nomen, cognomen, supernomen, tribus, origo, gender, status, occupation, age in years, months, days, hours."
37,depth,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,character,Greatest preserved depth in cm. Entry of decimal numbers using either a point or a comma.
38,material,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,character,Material of the inscribed object.
39,type_of_monument,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,character,"Classification of inscribed monument, https://edh-www.adw.uni-heidelberg.de/hilfe/liste/inschrifttraeger"
40,province_label,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,character,"Boundaries of the ancient provinces / Italic regions:
As a rule the boundaries are those of the mid 2nd century AD (most inscriptions date from this period).
Exception: Moesia inferior: boundaries of 3rd century AD (according to CIL III Suppl. tab. IV)
The provinces of Late Antiquity are not used, but assigned geographically to the above mentioned provinces / regions."
41,width,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,character,Greatest preserved width in cm. Entry of decimal numbers using either a point or a comma.
