Term,gen_sg,Vocab_nom_sg,Source,Category,Subcategory,Translation_eng
cellariarius,i,,Petrikovits 1981b,Household Goods,,"one who keeps provisions, a steward, butler"
cellaricarius,i,,Petrikovits 1981a,Household Goods,,"one who keeps provisions, a steward, butler"
cellarius,i,,Petrikovits 1981a,Household Goods,,"one who keeps provisions, a steward, butler"
cellio,onis,,Petrikovits 1981a,Household Goods,,"one who keeps provisions, a steward, butler"
cementarius,i,,Petrikovits 1981a,Building,Stone worker,mason
centonarius,i,centonarius,Waltzing - Rome,Clothing,,"a maker of patchwork, a dealer in rags"
cerarius,i,,Petrikovits 1981a,Household Goods,,manufacturer of wax products
cerdo,onis,,Petrikovits 1981a,Miscellaneous Services,,a handicraftsman
cerearius,i,,Petrikovits 1981a,Unclear meaning,,"uncertain worker, maybe baker"
ceriolarius,i,,Petrikovits 1981a,Household Goods,,wax candles manufacturer
ceromatita,ae,,Petrikovits 1981a,Miscellaneous Services,,"masseur, trainer"
cervesarius,i,,Petrikovits 1981a,Food-Production,,"beermaker, brewer"
cesor,oris,,Petrikovits 1981a,Building,Stone worker,stone mason
characteraria,ae,,Petrikovits 1981a,Unclear meaning,,"uncertain, marker maker or letter maker"
chartarius,i,,Petrikovits 1981a,Miscellaneous Services,,papyrus maker
chorographarius,i,,Petrikovits 1981a,Miscellaneous Services,,"map maker, geograph"
chorographus,i,,Petrikovits 1981a,Miscellaneous Services,,"cartograph, map maker"
ciliciarius,i,,Petrikovits 1981a,Household Goods,,maker of hair carpets
circitor,oris,circitor,Waltzing - provinces,Managerial,,"A watchman, overseer, supervisor"
circumitor,oris,,Petrikovits 1981a,Managerial,,"A watchman, overseer, supervisor"
cisianus,i,,Petrikovits 1981a,Transport,,"uncertain, the maker / driver of a cabriolet"
cisiarius,i,cisiarius,Waltzing - Rome,Transport,Land transport,The maker / driver of a cabriolet
citrarius,i,citrarius,Waltzing - Rome,Household Goods,,maker of furniture out of citrus trees
citratius,i,,Petrikovits 1981a,Retail,,producer and seller of citrus wood products
claharus,i,,Petrikovits 1981a,Metal-Working,,nail maker
clastrarius,i,,Petrikovits 1981a,Household Goods,,lock maker and seller
claustrarius,i,,Petrikovits 1981a,Household Goods,,lock maker and seller
clavarius,i,,Petrikovits 1981a,Metal-Working,,nail maker
clavicarius,i,,Petrikovits 1981a,Metal-Working,,locksmith
claviclarius,i,,Petrikovits 1981a,Metal-Working,,"A bar, bolt of the door maker, or guardian of a prison"
clavicularius,i,,Petrikovits 1981a,Metal-Working,,"A bar, bolt of the door maker, or guardian of a prison"
clepsydrarius,i,,Petrikovits 1981a,Miscellaneous Services,,a maker of water-clocks
clibanarius,i,clibanarius,Waltzing - provinces,Food-Production,,"a soldier clad in mail, a cuirassier, baker"
cloacarius,i,,Petrikovits 1981a,Water-Management,,canal worker
clostrarius,i,,Petrikovits 1981a,Household Goods,,lock maker and seller
clusor,oris,,Petrikovits 1981a,Unclear meaning,,"uncertain, one who encloses or encompasses"
coactarius,i,,Petrikovits 1981a,Clothing,,felt maker
coactiliarius,i,,Petrikovits 1981a,Clothing,,felt maker
coactor,oris,,Petrikovits 1981a,Clothing,,felt producer or seller
coator,oris,,Petrikovits 1981a,Clothing,,felt producer or seller
coctarius,i,,Petrikovits 1981a,Food-Production,,a cook
coctiliarius,i,,Petrikovits 1981a,Building,,burnt brick-maker
coctor,oris,coctor,Waltzing - Rome,Food-Production,,"a cook, master distiller"
coctuarius,i,,Petrikovits 1981a,Food-Production,,a cook
cocus,i,,Petrikovits 1981a,Food-Production,,a cook 
codicarius,i,codicarius,Waltzing - Rome,Transport,Maritime/water transport,those who sail on such ships (esp. those who brought the corn from Ostia to Rome)
collectiarius,i,collectiarius,Waltzing - Rome,Finance,,money-changer
