Term,gen_sg,Vocab_nom_sg,Source,Category,Subcategory,Translation_eng
refector pectinarius,oris,refector,Petrikovits 1981a,Household Goods,,"a restorer, repairer of combs"
resinaria,ae,,Petrikovits 1981a,Fuel / Raw material,,female resin maker
restiarius,i,,Petrikovits 1981a,Retail,,"A ropemaker, rope-seller"
resticularius,i,,Petrikovits 1981a,Retail,,"A ropemaker, rope-seller"
restio,onis,restio,Waltzing - Rome,Retail,,"A ropemaker, rope-seller"
retiarius,i,retiarius,Waltzing - provinces,Performing Arts,,"a gladiator who used a net to entangle his adversary, net-fighter"
retifex,icis,,Petrikovits 1981a,Miscellaneous Services,,a netmaker
rhedarius,i,,Petrikovits 1981a,Transport,Land transport,"a coachman, driver of a raeda"
rhypararographus,i,,Petrikovits 1981a,Plastic Arts,,a painter
rosarius,i,rosarius,Waltzing - Rome,Retail,,seller of roses
saburrarius,i,saburrarius,Waltzing - Rome,Transport,Maritime/water transport,one who carries ballast to ships
sacarius,i,,Petrikovits 1981a,Transport,Land transport,"one who carries sacks, sack maker"
saccarius,i,saccarius,Waltzing - Rome,Transport,Land transport,"one who carries sacks, sack maker"
sacomarius,i,,Petrikovits 1981a,Miscellaneous Services,,one who makes counterpoises or weights 
sagarius,i,sagarius,Waltzing - Rome,Retail,,a dealer in mantles
sagittarius,i,,Petrikovits 1981a,Metal-Working,,"arrow-makers, arrow-smiths"
sagmarius,i,,Petrikovits 1981a,Transport,Land transport,manufacturer of pack animal saddles
salarius,i,salarius,Waltzing - Rome,Retail,,"salt maker, dealer"
salgamarius,i,,Petrikovits 1981a,Food-Production,,one who makes or sells pickles
salinator,oris,salinator,Waltzing - provinces,Food-Retail,,a dealer in salt
salsamentarius,i,,Petrikovits 1981a,Food-Retail,,a dealer in salted fish
samiarius,i,,Petrikovits 1981a,Miscellaneous Services,,"a polisher, grinder"
samiator,oris,,Petrikovits 1981a,Miscellaneous Services,,"a polisher, furbisher"
sandaliarius,i,,Petrikovits 1981a,Clothing,Shoe maker,"sandal, shoe maker"
sandapilarius,i,,Petrikovits 1981a,Death-care sector,,"one that carries a sandapila, a corpse-bearer"
saponarius,i,saponarius,Waltzing - provinces,Household Goods,,soap producer
sarcinator,oris,,Petrikovits 1981a,Clothing,,"a patcher, botcher, mender of old garments"
sarcinatrix,icis,,Petrikovits 1981b,Clothing,,"female patcher, botcher, mender of old garments"
sarcitor,oris,,Petrikovits 1981a,Clothing,,"a patcher, botcher, mender of old garments"
sartcitrix,icis,,Petrikovits 1981b,Clothing,,"female patcher, botcher, mender of old garments"
sartur,uris,,Petrikovits 1981a,Miscellaneous Services,,"A hoer, weeder, cultivator"
sarsor,oris,,Petrikovits 1981a,Miscellaneous Services,,"A hoer, weeder, cultivator"
sartor,oris,,Petrikovits 1981a,Miscellaneous Services,,"A hoer, weeder, cultivator"
sartrix,icis,,Petrikovits 1981b,Miscellaneous Services,,"Female hoer, weeder, cultivator"
scabillarius,i,scabillarius,Waltzing - Rome,Miscellaneous Services,,"player of a footstool, cricket"
scaenarius,i,,Petrikovits 1981a,Plastic Arts,,a painter
scaenaticus,i,scaenaticus,Waltzing - Rome,Performing Arts,,a stageplayer
scaenicus,i,scaenicus,Waltzing - Rome,Performing Arts,,"of the stage, scenic, dramatic, theatrical"
scalarius,i,,Petrikovits 1981a,Building,,"step maker, ladder maker"
scalptor,oris,,Petrikovits 1981a,Plastic Arts,,"a cutter, graver in metal or stone"
scamillarius,i,scamillarius,Waltzing - provinces,Miscellaneous Services,,"player of a footstool, cricket"
scandularius,i,,Petrikovits 1981a,Building,,shingle maker
scapharius,i,scapharius,Waltzing - Rome,Transport,Maritime/water transport,owner of a small boat
scaurarius,i,,Petrikovits 1981a,Metal-Working,,slag worker
scholasticus,i,scholasticus,Waltzing - provinces,Education,,"who teaches or studies rhetoric, a lecturer in the schools, a rhetorician"
scissor,oris,,Petrikovits 1981a,Building,,"a carver, kind of gladiator"
scordiscarius,i,,Petrikovits 1981a,Transport,Land transport,saddler
scriba,ae,scriba,Waltzing - Rome,Education,,"a public writer, official scribe, professional writer, clerk, secretary"
scriblitarius,i,,Petrikovits 1981a,Food-Production,,a tart-baker
scriptor,oris,scriptor,Petrikovits 1981a,Managerial,,"one who writes, a writer, scribe, copyist, clerk"
sculptor,oris,,Petrikovits 1981a,Plastic Arts,,"one who cuts, carves, or engraves in stone, wood"
scultor,oris,,Petrikovits 1981a,Plastic Arts,,"one who cuts, carves, or engraves in stone, wood"
scutarius,i,,Petrikovits 1981a,Miscellaneous Services,,shield maker
scutularius,i,,Petrikovits 1981a,Household Goods,,table maker with diamond shaped decor
sector,oris,sector,Waltzing - Rome,Building,,"one who cuts, a cutter"
securicularius,i,,Petrikovits 1981a,Metal-Working,,a little axe maker and seller
segmentarius,i,,Petrikovits 1981a,Metal-Working,,trimmer with gold or seller
sellularius,i,,Petrikovits 1981a,Household Goods,,"lounger, chair maker"
seplasiarius,i,,Petrikovits 1981a,Miscellaneous Services,,anoitment maker and seller
sericarius,i,,Petrikovits 1981a,Clothing,,silk producer and dealer
serrarius,i,serrarius,Waltzing - provinces,Building,Stone worker,stone-sawyer
sessoriarius,i,,Petrikovits 1981a,Household Goods,,armchair maker
sigillariarius,i,,Petrikovits 1981a,Household Goods,,a potter
sigillarius,i,,Petrikovits 1981a,Household Goods,,a potter
sigillator,oris,,Petrikovits 1981a,Household Goods,,a potter
signarius,i,,Petrikovits 1981a,Plastic Arts,,a sculptor
signator,oris,,Petrikovits 1981a,Finance,,"one who stamps money, a coiner"
silicarius,i,,Petrikovits 1981a,Building,Stone worker,one that paves roads with pebble-stones
siliginarius,i,,Petrikovits 1981a,Food-Production,,wheat bread baker
silvicaedus,i,,Petrikovits 1981a,Building,Wood worker,lumberjack
similaginarius,i,,Petrikovits 1981a,Food-Production,,wheat bread baker
simpulariarius,i,,Petrikovits 1981a,Household Goods,,"a maker of simpula, ladle maker"
sindiniacus,i,,Petrikovits 1981a,Clothing,,"cotton stuff, muslin maker"
sindoniacus,i,sindoniacus,Waltzing - provinces,Clothing,,"cotton stuff, muslin maker"
sintoniacus,i,,Petrikovits 1981a,Clothing,,"cotton stuff, muslin maker"
siricaria,ae,,Petrikovits 1981a,Clothing,,silk producer and dealer
siricarius,i,,Petrikovits 1981a,Clothing,,silk producer and dealer
solatarius,i,,Petrikovits 1981a,Clothing,Shoe maker,shoe maker
solearius,i,,Petrikovits 1981a,Clothing,Shoe maker,shoe maker
soliarius,i,,Petrikovits 1981a,Clothing,Shoe maker,shoe maker
spadicarius,i,,Petrikovits 1981a,Clothing,Colour production,dyer with brown colour
spatharius,i,,Petrikovits 1981a,Metal-Working,,"a broad sword with a double edge, sabre maker"
speclariarius,i,,Petrikovits 1981a,Glass-Working,,"a mirror-maker, window glass maker"
speclarius,i,,Petrikovits 1981a,Glass-Working,,"a mirror-maker, window glass maker"
speculariarius,i,,Petrikovits 1981a,Glass-Working,,"a mirror-maker, window glass maker"
specularius,i,specularius,Waltzing - Rome,Glass-Working,,"a mirror-maker, window glass maker"
sructor,oris,,Petrikovits 1981a,Building,Wood worker,"a builder, mason, carpenter"
stagnarius,i,,Petrikovits 1981a,Metal-Working,,"solder, metal worker"
stagnator,oris,,Petrikovits 1981a,Metal-Working,,tin caster
stannator,oris,,Petrikovits 1981a,Metal-Working,,tin caster
statuarius,i,,Petrikovits 1981a,Plastic Arts,,"a maker of statues, a statuary "
strophiarius,i,,Petrikovits 1981a,Plastic Arts,,bust maker
structor,oris,structor,Waltzing - Rome,Building,Wood worker,"a builder, mason, carpenter"
stuppator,oris,,Petrikovits 1981a,Building,Wood worker,"caulker, joiner"
stuppatorius,i,stuppatorius,Waltzing - Rome,Food-Retail,,"seller of coarse flax, tow, oakum"
suarius,i,suarius,Waltzing - Rome,Food-Production,,pig breader
subactarius,i,,Petrikovits 1981a,Clothing,,tanner
subaedanus,i,,Petrikovits 1981b,Miscellaneous Services,,worker inside the house
subaedianus,i,subaedianus,Waltzing - Rome,Building,Wood worker,carpenter ?
subaedius,i,,Petrikovits 1981a,Miscellaneous Services,,worker inside the house
subedius,i,,Petrikovits 1981a,Miscellaneous Services,,worker inside the house
subidianus,i,subidianus,Waltzing - provinces,Building,Wood worker,carpenter ?
subonatris,is,,Petrikovits 1981a,Miscellaneous Services,,female cosmetic assistant
subrutor,oris,subrutor,Waltzing - Rome,Building,,demolisher
suffossor,oris,,Petrikovits 1981a,Fuel / Raw material,,miner
suppostor,oris,,Petrikovits 1981a,Finance,,coin maker
susceptor,oris,susceptor,Waltzing - Rome,Miscellaneous Services,,"one who undertakes any thing, contractor"
sutor,oris,sutor,Waltzing - Rome,Clothing,Shoe maker,"a shoemaker, cobbler"
sutriballus,i,,Petrikovits 1981a,Clothing,Shoe maker,"a shoemaker, cobbler"
symphonicus,i,symphonicus,Waltzing - Rome,Performing Arts,,"of concerts, of music, musicmaker"
tabernaclarius,i,,Petrikovits 1981a,Miscellaneous Services,,tent maker
tabernacularius,i,,Petrikovits 1981a,Miscellaneous Services,,tent maker
tabernarius,i,tabernarius,Waltzing - Rome,Retail,,"shopkeepers, small dealers"
tector,oris,tector,Waltzing - provinces,Building,,"one that overlays walls with plaster, stucco, etc., a plasterer, pargeter"
tegetarius,i,,Petrikovits 1981a,Household Goods,,a mat-maker
tegularius,i,,Petrikovits 1981a,Building,,"a tile, roof-tile maker"
tellionarius,i,tellionarius,Waltzing - Rome,Clothing,,one who prepared skins for the use of soldiers
tentorius,i,,Petrikovits 1981a,Miscellaneous Services,,tent maker
tentorarius,i,,Petrikovits 1981a,Miscellaneous Services,,tent maker
tessalarius,i,,Petrikovits 1981a,Plastic Arts,,"mosaicer, maker of mosaic"
tesselator,oris,,Petrikovits 1981a,Plastic Arts,,"mosaicer, maker of mosaic"
tessellarius,i,,Petrikovits 1981a,Plastic Arts,,"mosaicer, maker of mosaic"
tesserarius lignarius,i,tesserarius,Petrikovits 1981a,Building,,"unclear, cutter of small wooden pieces"
testarius,i,,Petrikovits 1981a,Building,,"tile, brick maker"
textor,oris,,Petrikovits 1981a,Clothing,,weaver
textricula,ae,,Petrikovits 1981a,Clothing,,a little (female) weaver
