,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Longitude (X),Latitude (Y),Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures
327,Hanson2016_328,Axati,Lora del Rio,Baetica,Spain,3,26 E4,-50,,-5.526244,37.659304,DGRG.,,,['Municipium'],,0
328,Hanson2016_329,Baelo,Bolonia,Baetica,Spain,3,26 E5,-27,,-5.774611,36.089886,BNP; Carreras Monfort 1995-1996; Keay 1998; MacMullen 2000; PECS; Quinn and Wilson 2013; Sear 2006.,11.0,Walls,"['Colonia?', 'Municipium', 'Rights and privileges', 'Rights and privileges']","['Aqueduct', 'Basilica', 'Baths', 'Baths', 'Curia?', 'Forum', 'Fountain', 'Macellum', 'Nymphaeum', 'Tabularium?', 'Temple of Isis', 'Temple of Juno', ""Temple of Jupiter ('capitolium')"", 'Temple of Minerva', 'Theatre', 'Urban grid', 'Walls']",17
329,Hanson2016_330,Callet,Tajo de Mogarejo,Baetica,Spain,3,26 E4,-49,,-5.626201,37.052305,MacMullen 2000.,,,['Colonia?'],,0
330,Hanson2016_331,Canama,Alcolea,Baetica,Spain,3,26 E4,-50,,-5.671334,37.614155,Sear 2006.,,,,['Theatre'],1
331,Hanson2016_332,Carissa,Carija,Baetica,Spain,3,26 E5,-50,,-5.732101999999999,36.877668,Keay 1998.,,,"['Municipium', 'Rights and privileges']",,0
332,Hanson2016_333,Carmo,Carmona,Baetica,Spain,3,26 E4,-50,,-5.6403739999999996,37.471356,BNP; Carreras Monfort 1995-1996; Keay 1998; Nelis-Clément and Roddaz 2008; PECS; Russell 1958.,47.0,Inhabited area,"['Municipium', 'Rights and privileges']","['Amphitheatre', 'Circus', 'Temple', 'Walls']",4
333,Hanson2016_334,Carteia,Cortijo de el Rocadillo,Baetica,Spain,3,26 E5,-400,,-5.410359,36.183163,BNP; Carreras Monfort 1995-1996; DGRG; Keay 1998; MacMullen 2000; PECS; Sear 2006.,24.0,Walls,"['Colonia', 'Municipium', 'Rights and privileges', 'Rights and privileges']","['Acropolis', 'Amphitheatre', 'Baths', 'Forum?', ""Temple ('capitolium')"", 'Temple?', 'Theatre', 'Walls']",8
334,Hanson2016_335,Cartima,Cartama,Baetica,Spain,3,27 A5,-50,,-4.630741,36.711313,BNP; Sear 2006.,,,"['Municipium', 'Rights and privileges', 'Rights and privileges']",['Theatre'],1
335,Hanson2016_336,Corduba,Córdoba,Baetica,Spain,1,26 F4,-152,,-4.78025,37.883759999999995,Brunt 1971; Carreras Monfort 1995-1996; Cornell and Mathews 1982; Keay 1998; MacMullen 2000; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Russell 1958; Salmon 1969; Sear 2006.,99.0,Urban grid and inhabited area,"['Colonia', 'Colonia?', 'Colonia?', 'Conventus capital', 'Provincial capital', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre', 'Aqueduct', 'Aqueduct', 'Aqueduct', 'Arch', 'Baths', 'Baths', 'Baths', 'Bridge', 'Circus (New)', 'Circus (Old)', 'Comitium', 'Forum (New)', 'Forum (Old)', 'Library?', 'Macellum', 'Temple', 'Temple of Magna Mater', 'Temple of the imperial cult', 'Theatre', 'Urban grid', 'Urban grid']",22
336,Hanson2016_337,Gades,Cádiz,Baetica,Spain,2,26 D5,-400,,-6.292408999999999,36.529942,BNP; Brunt 1971; Carreras Monfort 1995-1996; Cornell and Mathews 1982; DGRG; Keay 1998; MacMullen 2000; Nelis-Clément and Roddaz 2008; PECS; Russell 1958; Sear 2006.,81.0,Inhabited area,"['Colonia?', 'Conventus capital', 'Municipium?', 'Municipium?', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges']","['Aqueduct', 'Bridge', 'Circus?', 'Harbour', 'Temple of Astarte / Hera', 'Temple of Hercules', 'Temple of Moloch', 'Temple of Saturn', 'Theatre', 'Walls']",10
337,Hanson2016_338,Hasta Regia,Mesas de Asta,Baetica,Spain,3,26 D5,-49,,-6.172572,36.788002,BNP; Brunt 1971; Carreras Monfort 1995-1996; Cornell and Mathews 1982; Keay 1998; MacMullen 2000; PECS; Salmon 1969.,42.0,Inhabited area,"['Colonia', 'Rights and privileges']",,0
338,Hanson2016_339,Hispalis,Seville,Baetica,Spain,2,26 E4,-45,,-5.996676,37.394112,BNP; Brunt 1971; Carreras Monfort 1995-1996; Cornell and Mathews 1982; DGRG; Keay 1998; MacMullen 2000; Nelis-Clément and Roddaz 2008; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Sear 2006; Wilkes 2003b; Woloch 1983.,45.0,Walls,"['Colonia', 'Colonia', 'Conventus capital', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre', 'Circus?', 'Forum?', ""Temple ('capitolium')"", 'Theatre', 'Urban grid?', 'Walls']",7
339,Hanson2016_340,Ilipa,Alcalá del Río,Baetica,Spain,4 or 5,26 E4,-49,,-5.978254,37.518215000000005,BNP; Carreras Monfort 1995-1996; DGRG; Keay 1998; MacMullen 2000; PECS.,7.0,Walls,"['Colonia?', 'Municipium', 'Rights and privileges', 'Rights and privileges']","['Forum', 'Walls']",2
340,Hanson2016_341,Iliturgi,Cortijo de Maquiz,Baetica,Spain,3,27 B4,-50,,-3.8088300000000004,37.968343,MacMullen 2000.,,,['Municipium'],,0
341,Hanson2016_342,Illiberi,Elvira,Baetica,Spain,4 or 5,27 B4,-50,,-3.5979339999999995,37.176484,BNP; DGRG; MacMullen 2000; PECS; Quinn and Wilson 2013.,,,['Municipium?'],"[""Temple ('capitolium')?""]",1
342,Hanson2016_343,Iluro,Mataró,Baetica,Spain,3,26 F5,-100,,-4.706673,36.822609,Brunt 1971; Carreras Monfort 1995-1996; Cornell and Mathews 1982; MacMullen 2000.,8.0,Urban grid,"['Municipium', 'Rights and privileges']","['Baths', 'Forum', 'Fountain', 'Urban grid']",4
343,Hanson2016_344,Iptuci,Torreparedones,Baetica,Spain,3,27 A4,-49,,-4.3776019999999995,37.755932,Brunt 1971; Cornell and Mathews 1982; DGRG; Keay 1998; MacMullen 2000; Salmon 1969.,,,"['Colonia', 'Rights and privileges', 'Rights and privileges']",,0
344,Hanson2016_345,Irni,Molino del Postero,Baetica,Spain,3,26 E4,-50,,-5.108907,37.050024,Boatwright 2000.,,,['Municipium'],,0
345,Hanson2016_346,Isturgi,Los Villares,Baetica,Spain,3,27 A3,-50,,-4.022437,38.030217,MacMullen 2000; Sear 2006.,,,['Municipium'],['Theatre'],1
346,Hanson2016_347,Italica,Santiponce,Baetica,Spain,3,26 D4,-206,,-6.044855999999999,37.441109999999995,Benario 1981; BNP; Boatwright 2000; Brunt 1971; Carreras Monfort 1995-1996; Cornell and Mathews 1982; Golvin 1988; Keay 1998; MacMullen 2000; Nelis-Clément and Roddaz 2008; PECS; Quinn and Wilson 2013; Salmon 1969; Sear 2006; Woloch 1983.,49.0,Walls,"['Colonia', 'Colonia', 'Municipium', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre', 'Aqueduct', 'Basilica', 'Baths (of the Moorish Queen)', 'Baths (of the Palace)', 'Circus?', 'Forum', ""Temple ('capitolium')"", 'Temple of Trajan', 'Theatre', 'Urban grid', 'Urban grid', 'Walls', 'Walls']",14
347,Hanson2016_348,Iulia Traducta,Algericas,Baetica,Spain,3,26 E5,-27,,-5.447744,36.129768,Brunt 1971; PECS; Salmon 1969.,,,"['Colonia?', 'Municipium?', 'Rights and privileges']",,0
348,Hanson2016_349,Laepia,Rio de las Piedras?,Baetica,Spain,-,26 Unlocated,-50,,-6.106487,36.695801,Keay 1998.,,,"['Municipium', 'Rights and privileges']",,0
349,Hanson2016_350,Lucurgentum,Moron de la Frontera,Baetica,Spain,3,26 E4,-49,,-5.451969,37.122328,Keay 1998; MacMullen 2000; Sear 2006.,7.0,Inhabited area,['Colonia?'],['Theatre'],1
350,Hanson2016_351,Malaca,Málaga,Baetica,Spain,3,27 A5,-200,,-4.4166669999999995,36.716667,BNP; Carreras Monfort 1995-1996; DGRG; Keay 1998; PECS; Russell 1958; Sear 2006; Woloch 1983.,25.0,Walls,"['Municipium', 'Rights and privileges']",['Theatre'],1
