,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures,geometry,ID,level_0,Unnamed: 0_y,index,pop_sample,pop_est,pop_diff
373,Hanson2016_374,Amastris,Amasra,Bithynia et Pontus,Turkey,3,86 C2,-400,,BNP; Cohen 1995; DGRG; Hansen and Nielsen 2004; Jones 1937; PECS; Sear 2006.,,,['Metropolis capital'],"['Acropolis', 'Agora', 'Harbour', 'Odeum', 'Temple', 'Theatre', 'Urban grid', 'Walls']",8,POINT (32.380582 41.734981),374,,,,,1000.0,
374,Hanson2016_375,Amisus,Samsun,Bithynia et Pontus,Turkey,4 or 5,87 B3,-750,,BNP; Cohen 1995; DGRG; Hansen and Nielsen 2004; Jones 1937; MacMullen 2000; PECS.,,,"['Colonia', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges']","['Acropolis', 'Temple', 'Walls']",3,POINT (36.3313 41.292721),375,,,,,1000.0,
375,Hanson2016_376,Apamea (Bithynia et Pontus),Mudanya,Bithynia et Pontus,Turkey,3,52 D4,-500,,BNP; Brunt 1971; Cohen 1995; Cornell and Mathews 1982; DGRG; Hansen and Nielsen 2004; Jones 1937; MacMullen 2000; Salmon 1969; Sear 2006.,,,"['Colonia', 'Colonia?', 'Colonia?', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges']",['Theatre'],1,POINT (28.891104 40.368487),376,,,,,1000.0,
376,Hanson2016_377,Chalcedon,Kad?köy,Bithynia et Pontus,Turkey,3,53 B3,-685,,BNP; Hansen and Nielsen 2004; Jones 1937; PECS.,,,['Rights and privileges'],"['Agora?', 'Sanctuary of Apollo', 'Temple of Zeus Urios', 'Urban grid?', 'Walls']",5,POINT (29.026779 40.985381),377,,,,,1000.0,
377,Hanson2016_378,Nicaea,Iznik,Bithynia et Pontus,Turkey,2,52 F4,-316,,BNP; Boatwright 2000; Cohen 1995; DGRG; Hanson 2011; Jones 1937; PECS; Russell 1958; Sear 2006.,114.0,Urban grid,"['Metropolis capital', 'Metropolis capital']","['Agora', 'Aqueduct', 'Gymnasium', 'Market', 'Temple of Apollo', 'Temple of Asclepius', 'Temple of Caesar and Rome', 'Temple of Dionysus', 'Temple of Tyche', 'Theatre', 'Urban grid', 'Walls', 'Walls']",13,POINT (29.71967 40.427979),378,27.0,27.0,27.0,23429.0,23429.0,1.0
378,Hanson2016_379,Nicomedia,Ismit,Bithynia et Pontus,Turkey,2,52 F3,-264,,BNP; Boatwright 2000; Cohen 1995; Jones 1937; Nelis-Clément and Roddaz 2008; PECS; Russell 1958; Salmon 1969; Sear 2006.,228.0,Unspecified,"['Colonia', 'Metropolis capital', 'Provincial capital']","['Aqueduct', 'Aqueduct', 'Aqueduct?', 'Colonnaded streets', 'Forum', 'Hippodrome', 'Nymphaeum', 'Temple of Caesar and Rome', 'Temple of Commodus', 'Temple of Demeter', 'Temple of Isis', 'Theatre', 'Walls', 'Walls']",14,POINT (29.919877 40.760677),379,,,,,59149.0,
379,Hanson2016_380,Prusias,Konuralp,Bithynia et Pontus,Turkey,3,86 B3,-600,,BNP; Cohen 1995; Jones 1937; PECS; Sear 2006.,,,['Rights and privileges'],"['Acropolis', 'Agora?', 'Aqueduct', 'Baths', 'Bridge', 'Colonnaded streets', 'Theatre', 'Urban grid?', 'Walls']",9,POINT (31.148171 40.905988),380,,,,,1000.0,
380,Hanson2016_381,Sinope,Sinop,Bithynia et Pontus,Turkey,2,87 A2,-756,,BNP; Brunt 1971; Cornell and Mathews 1982; DGRG; Hansen and Nielsen 2004; Jones 1937; MacMullen 2000; PECS; Salmon 1969.,66.0,Walls,"['Colonia', 'Colonia', 'Rights and privileges', 'Rights and privileges']","['Agora', 'Aqueduct', 'Gymnasium', 'Temple', 'Walls']",5,POINT (35.148025 42.026184),381,,,,,11288.0,
381,Hanson2016_382,Tius,Hisarönü,Bithynia et Pontus,Turkey,3,86 C2,-700,,BNP; Jones 1937; PECS.,,,,"['Acropolis', 'Aqueduct', 'Theatre', 'Walls']",4,POINT (32.055366 41.558273),382,,,,,1000.0,
382,Hanson2016_383,Aquae Sulis,Bath,Britannia,United Kingdom,4 or 5,8 E3,100,,BNP; Burnham and Wacher 1990; McEvedy 2011; Millett 1990: Table 6.5; PECS.,12.0,Inhabited area,,"['Baths', 'Sanctuary of Sulis Minerva', 'Theatre?', 'Walls', 'Walls']",5,POINT (-2.357454 51.381428),383,,,,,1157.0,
383,Hanson2016_384,Caesaromagus (Britannia),Chelmsford,Britannia,France,4 or 5,8 H3,100,,DGRG; Millett 1990: Table 6.5; Russell 1958; Wacher 1995.,16.0,Inhabited area,['Civitas capital'],"['Baths', 'Temple', 'Walls']",3,POINT (0.469708 51.73581400000001),384,,,,,1700.0,
384,Hanson2016_385,Calleva,Silchester,Britannia,United Kingdom,3,8 F3,50,,Golvin 1988; McEvedy 2011; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Russell 1958; Wacher 1995; Woloch 1983.,45.0,Walls,['Civitas capital'],"['Amphitheatre', 'Aqueduct?', 'Baths', 'Fort?', 'Forum-basilica', 'Ramparts (First)', 'Ramparts (Roman)', 'Ramparts (Second)', 'Temple', 'Temple', 'Temple', 'Temple', 'Temple', 'Urban grid', 'Walls', 'Walls']",16,POINT (-1.082817 51.357148),385,28.0,28.0,28.0,6767.0,6767.0,1.0
